time,S,R,F,T,dose_u1
22.4,14.2366802597801,804498.507052126,163015.223904888,804512.743732386,0
22.6,13.8265473457998,804772.886179702,163022.408210585,804786.712727048,0
22.8,13.4273016987286,804996.249649885,163028.965406671,805009.676951583,0
23,13.0389387754254,805177.843346812,163034.94395651,805190.882285587,1.5
23.2,9.00716235107888,804800.785837316,163040.386430487,804809.792999667,1.5
23.4,6.18429250643401,804495.552853734,163045.357738841,804501.73714624,1.5
23.6,4.23789882067729,804249.1536534,163049.889649876,804253.391552221,1.5
23.8,2.89686935241616,804049.325055205,163054.021840521,804052.221924557,1.5
24,1.9765198961489,803886.601494983,163057.789076529,803888.578014879,0
24.2,1.92010720248326,804288.698342237,163061.175278457,804290.61844944,0
24.4,1.86505955092782,804618.329806783,163064.282073212,804620.194866334,0
24.6,1.81131053461802,804890.543040259,163067.143141624,804892.354350794,0
24.8,1.7589875366045,805110.416241709,163069.754339614,805112.175229246,0
25,1.70809074014425,805287.591447985,163072.13499929,805289.299538725,0
